time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2014-02-22T03:52:38.000Z","LatLng(39.48284, -122.06557)","-0.063704974","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-03-19T03:46:08.000Z","LatLng(39.48284, -122.06557)","0.135551955","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-04-04T03:45:52.000Z","LatLng(39.48284, -122.06557)","NaN","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-04-11T03:51:32.000Z","LatLng(39.48284, -122.06557)","0.139267145","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-04-11T03:51:56.000Z","LatLng(39.48284, -122.06557)","0.13931743900000002","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-04-20T03:45:35.000Z","LatLng(39.48284, -122.06557)","0.127047572","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-04-27T03:51:16.000Z","LatLng(39.48284, -122.06557)","0.13267753699999998","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-04-27T03:51:40.000Z","LatLng(39.48284, -122.06557)","0.134487668","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-05-06T03:45:18.000Z","LatLng(39.48284, -122.06557)","-0.268323527","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-05-13T03:51:02.000Z","LatLng(39.48284, -122.06557)","-0.093500427","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-05-13T03:51:26.000Z","LatLng(39.48284, -122.06557)","-0.09184676900000001","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-05-22T03:45:10.000Z","LatLng(39.48284, -122.06557)","0.08860383","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-05-29T03:51:01.000Z","LatLng(39.48284, -122.06557)","0.419982653","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-05-29T03:51:25.000Z","LatLng(39.48284, -122.06557)","0.41888339","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-06-07T03:45:20.000Z","LatLng(39.48284, -122.06557)","0.637916896","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-06-14T03:51:09.000Z","LatLng(39.48284, -122.06557)","0.770432393","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-06-14T03:51:33.000Z","LatLng(39.48284, -122.06557)","0.7715143109999999","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-06-23T03:45:23.000Z","LatLng(39.48284, -122.06557)","0.761253306","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-06-30T03:51:12.000Z","LatLng(39.48284, -122.06557)","0.826491654","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-06-30T03:51:36.000Z","LatLng(39.48284, -122.06557)","0.82596754","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-07-09T03:45:31.000Z","LatLng(39.48284, -122.06557)","0.6905017259999999","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-07-16T03:51:20.000Z","LatLng(39.48284, -122.06557)","0.760320225","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-07-16T03:51:43.000Z","LatLng(39.48284, -122.06557)","0.760301083","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-07-25T03:45:33.000Z","LatLng(39.48284, -122.06557)","0.843174933","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-08-01T03:51:25.000Z","LatLng(39.48284, -122.06557)","NaN","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-08-01T03:51:49.000Z","LatLng(39.48284, -122.06557)","NaN","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-08-10T03:45:43.000Z","LatLng(39.48284, -122.06557)","0.783562293","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-08-17T03:51:31.000Z","LatLng(39.48284, -122.06557)","0.7808864259999999","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-08-17T03:51:55.000Z","LatLng(39.48284, -122.06557)","0.78208147","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-08-26T03:45:45.000Z","LatLng(39.48284, -122.06557)","0.7144763390000001","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-09-02T03:51:34.000Z","LatLng(39.48284, -122.06557)","0.6965873220000001","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-09-02T03:51:57.000Z","LatLng(39.48284, -122.06557)","0.696491737","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-09-11T03:45:49.000Z","LatLng(39.48284, -122.06557)","0.619684053","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-09-18T03:51:35.000Z","LatLng(39.48284, -122.06557)","0.581324747","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-09-18T03:51:59.000Z","LatLng(39.48284, -122.06557)","0.581031052","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-09-27T03:45:46.000Z","LatLng(39.48284, -122.06557)","0.42382317799999997","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-10-04T03:51:38.000Z","LatLng(39.48284, -122.06557)","0.301752849","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-10-04T03:52:02.000Z","LatLng(39.48284, -122.06557)","0.30168818399999997","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-10-13T03:45:53.000Z","LatLng(39.48284, -122.06557)","0.19667416399999998","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-10-20T03:51:42.000Z","LatLng(39.48284, -122.06557)","0.09699998300000001","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-10-20T03:52:05.000Z","LatLng(39.48284, -122.06557)","0.065582548","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-10-29T03:45:51.000Z","LatLng(39.48284, -122.06557)","-0.307692355","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-11-05T03:51:40.000Z","LatLng(39.48284, -122.06557)","-0.29863486100000003","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-11-05T03:52:04.000Z","LatLng(39.48284, -122.06557)","-0.298317645","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
